start_time,finish_time,experiment_item,weak,method,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_average_robustness_minus5,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,average_robustness_sum_minus5,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-28-2022_21-34-36,09-28-2022_21-36-36,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,1,experiments/config/bound_run/randomized_config_starting_position_only/config_1.ini,,-9,62,7.728643216,2.728643216,1538,-17,18,4.628140704,921,12.35678392,7.35678392,0.323666667,0.8985,36.0230013,4.636206965,0,2.308413531,25.39254884,1.611083833,0,0.559443157,6.153874727,12,11,1,91.66666667,53,36,34,3,9,9,3,5,-12,17,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_04-26-22,09-28-2022_04-28-26,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,2,experiments/config/bound_run/randomized_config_starting_position_only/config_2.ini,,-9,59,4.628140704,-0.371859296,921,-20,19,4.030150754,802,8.658291458,3.658291458,0.284789474,0.870421053,32.7185875,4.49878274,0,1.393305867,23.68619974,12.05125978,0,2.334241848,39.68211141,19,17,2,89.47368421,61,37,17,2,9,9,3,5,13,-3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_21-08-52,09-28-2022_21-10-52,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,3,experiments/config/bound_run/randomized_config_starting_position_only/config_3.ini,,-10,65,5.487437186,0.487437186,1092,-19,19,3.954773869,787,9.442211055,4.442211055,0.2943,0.8702,33.81981154,4.584707837,0,2.285881841,20.57293656,9.463402462,0,2.263007701,20.36706931,10,9,1,90,58,31,27,3,9,9,3,5,-4,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_21-13-00,09-28-2022_21-15-04,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,4,experiments/config/bound_run/randomized_config_starting_position_only/config_4.ini,,-9,49,6.216080402,1.216080402,1237,-14,15,3.457286432,688,9.673366834,4.673366834,0.31,0.887157895,34.94304699,4.13117898,0,1.839147292,33.10465126,7.313509295,0,1.174208089,21.13574561,19,18,1,94.73684211,44,32,34,3,9,9,3,5,16,20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-06-00,09-28-2022_05-08-00,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,9,experiments/config/bound_run/randomized_config_starting_position_only/config_9.ini,,-9,55,5.859296482,0.859296482,1166,-19,18,3.75879397,748,9.618090452,4.618090452,0.3585,0.923666667,38.812703,5.920752587,0,1.820601103,21.84721323,14.51232809,0,3.364529237,40.37435085,12,12,0,100,61,40,32,1,9,9,3,5,2,0,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-45-36,09-28-2022_05-47-35,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,6,experiments/config/bound_run/randomized_config_starting_position_only/config_16.ini,,-9,50,6.306532663,1.306532663,1255,-20,18,3.487437186,694,9.793969849,4.793969849,0.279230769,0.843615385,33.09929789,4.463236697,0.14900333,2.600930077,26.00930077,13.80266423,0,2.874251788,28.74251788,13,10,3,76.92307692,50,34,30,4,9,9,3,5,-6,12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_06-48-22,09-29-2022_06-50-24,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,4,experiments/config/bound_run/randomized_config_starting_position_only/config_104.ini,,-8,50,6.727272727,1.727272727,1332,-2,29,13.33333333,2640,20.06060606,15.06060606,0.385333333,0.9516,40.49320443,4.373880778,-2.11E-15,0.859257989,10.31109587,0.991587361,-1.42E-14,0.08263228,0.991587361,15,12,3,80,48,29,33,2,9,9,3,5,16,20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-28-2022_07-06-40,09-28-2022_07-08-43,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,0,experiments/config/bound_run/randomized_config_starting_position_only/config_30.ini,,-8,78,7.216080402,2.216080402,1436,-20,17,1.899497487,378,9.115577889,4.115577889,0.336,0.914777778,36.73023199,5.813002826,0,2.653063042,47.75513475,16.8851871,0,6.066039967,109.1887194,18,18,0,100,56,38,28,1,9,9,3,5,-14,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-10-49,09-28-2022_07-12-54,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,1,experiments/config/bound_run/randomized_config_starting_position_only/config_31.ini,,-9,51,4.939698492,-0.060301508,983,-18,19,2.964824121,590,7.904522613,2.904522613,0.291322581,0.852870968,34.15787284,3.801830709,0,1.72685172,48.35184815,11.02393995,0,2.724339614,76.2815092,31,28,3,90.32258065,48,36,26,2,9,9,3,5,-5,10,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-26-50,09-28-2022_07-28-51,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,4,experiments/config/bound_run/randomized_config_starting_position_only/config_34.ini,,-9,55,5.361809045,0.361809045,1067,-23,18,2.924623116,582,8.286432161,3.286432161,0.3075,0.872722222,35.2345789,5.561562096,0,2.260187512,36.16300019,14.03095701,0,3.171738691,50.74781906,18,16,2,88.88888889,56,46,13,1,9,9,3,5,2,0,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
