start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-28-2022_21-34-36,09-28-2022_21-36-36,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_1.ini,,-9,62,7.728643216,1538,-17,18,4.628140704,921,0.323666667,0.8985,36.0230013,4.636206965,0,2.308413531,25.39254884,1.611083833,0,0.559443157,6.153874727,12,11,1,91.66666667,53,36,34,3,9,9,3,5,-12,17,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_04-26-22,09-28-2022_04-28-26,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config_starting_position_only/config_2.ini,,-9,59,4.628140704,921,-20,19,4.030150754,802,0.284789474,0.870421053,32.7185875,4.49878274,0,1.393305867,23.68619974,12.05125978,0,2.334241848,39.68211141,19,17,2,89.47368421,61,37,17,2,9,9,3,5,13,-3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_21-08-52,09-28-2022_21-10-52,WEAKENING - PRIORITY - RUNAWAY,3,experiments/config/bound_run/randomized_config_starting_position_only/config_3.ini,,-10,65,5.487437186,1092,-19,19,3.954773869,787,0.2943,0.8702,33.81981154,4.584707837,0,2.285881841,20.57293656,9.463402462,0,2.263007701,20.36706931,10,9,1,90,58,31,27,3,9,9,3,5,-4,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_21-13-00,09-28-2022_21-15-04,WEAKENING - PRIORITY - RUNAWAY,4,experiments/config/bound_run/randomized_config_starting_position_only/config_4.ini,,-9,49,6.216080402,1237,-14,15,3.457286432,688,0.31,0.887157895,34.94304699,4.13117898,0,1.839147292,33.10465126,7.313509295,0,1.174208089,21.13574561,19,18,1,94.73684211,44,32,34,3,9,9,3,5,16,20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_22-29-55,09-28-2022_22-31-57,WEAKENING - PRIORITY - RUNAWAY,5,experiments/config/bound_run/randomized_config_starting_position_only/config_5.ini,,-8,79,7.733668342,1539,-18,17,3.010050251,599,0.321647059,0.888,36.22151563,5.381192206,0.050898925,2.450292302,39.20467684,7.401633484,0,2.977621513,47.64194421,17,16,1,94.11764706,50,40,34,2,9,9,3,5,-14,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_22-34-08,09-28-2022_22-36-08,WEAKENING - PRIORITY - RUNAWAY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_6.ini,,-8,50,5.768844221,1148,-22,18,3.442211055,685,0.265214286,0.836428571,31.70794193,6.587334933,0,2.259705743,24.85676317,14.22369918,0,2.255911348,24.81502483,14,11,3,78.57142857,54,36,31,3,9,9,3,5,-5,10,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_22-38-22,09-28-2022_22-40-24,WEAKENING - PRIORITY - RUNAWAY,7,experiments/config/bound_run/randomized_config_starting_position_only/config_7.ini,,-9,61,4.613065327,918,-13,18,2.949748744,587,0.327157895,0.892,36.67689403,4.556125933,0,1.989937797,33.82894254,10.07070001,0,2.485321284,42.25046182,19,17,2,89.47368421,60,41,29,2,9,9,3,5,3,-12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_22-42-36,09-28-2022_22-44-38,WEAKENING - PRIORITY - RUNAWAY,8,experiments/config/bound_run/randomized_config_starting_position_only/config_8.ini,,-10,54,5.648241206,1124,-18,18,3.045226131,606,0.308875,0.8816875,35.03225349,4.600943509,0.440653323,2.171574962,23.88732458,9.649746658,0,3.103833655,34.14217021,16,11,5,68.75,60,35,33,2,9,9,3,5,14,8,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-06-00,09-28-2022_05-08-00,WEAKENING - PRIORITY - RUNAWAY,9,experiments/config/bound_run/randomized_config_starting_position_only/config_9.ini,,-9,55,5.859296482,1166,-19,18,3.75879397,748,0.3585,0.923666667,38.812703,5.920752587,0,1.820601103,21.84721323,14.51232809,0,3.364529237,40.37435085,12,12,0,100,61,40,32,1,9,9,3,5,2,0,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_23-12-50,09-28-2022_23-14-51,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config_starting_position_only/config_12.ini,,-9,58,5.738693467,1142,-16,18,4.065326633,809,0.331692308,0.906846154,36.57646959,4.031552416,0,1.877989892,22.5358787,12.27685886,0,3.880215588,46.56258705,13,12,1,92.30769231,56,33,30,4,9,9,3,5,-6,-2,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
