start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,,,config file number,,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-26-2022_05-09-17,09-26-2022_05-11-13,PRIORITY - RUNAWAY,1,experiments/config/bound,run/randomized,config/config,51,ini,,-10,63,5.557788945,1106,-36,15,-2.417085427,-481,3.140703518,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,75,61,26,2,10,9,3,8,-5,-13,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-04-43,09-27-2022_20-06-39,PRIORITY - RUNAWAY,2,experiments/config/bound,run/randomized,config/config,52,ini,,-9,59,3.718592965,740,-33,13,-4.603015075,-916,-0.88442211,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,83,63,32,1,7,9,4,6,20,-9,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-54-20,09-27-2022_19-56-16,PRIORITY - RUNAWAY,3,experiments/config/bound,run/randomized,config/config,53,ini,,-10,42,5.145728643,1024,-74,19,-11.15075377,-2219,-6.005025127,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,84,60,30,2,8,9,6,7,-7,17,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-53-16,09-27-2022_20-55-12,PRIORITY - RUNAWAY,4,experiments/config/bound,run/randomized,config/config,54,ini,,-10,38,6.849246231,1363,-66,18,-5.442211055,-1083,1.407035176,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,70,29,6,14,9,9,11,0,-19,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-22-25,09-27-2022_20-24-21,PRIORITY - RUNAWAY,5,experiments/config/bound,run/randomized,config/config,55,ini,,-9,37,11.22110553,2233,-22,16,-1.175879397,-234,10.04522613,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,37,80,29,10,14,9,11,12,-15,14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-32-19,09-27-2022_20-34-15,PRIORITY - RUNAWAY,7,experiments/config/bound,run/randomized,config/config,56,ini,,-10,59,5.718592965,1138,-71,16,-5.618090452,-1118,0.100502513,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,58,64,32,5,10,9,6,9,-7,-14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-36-21,09-27-2022_20-38-17,PRIORITY - RUNAWAY,8,experiments/config/bound,run/randomized,config/config,57,ini,,-8,62,5.286432161,1052,-27,17,0.603015075,120,5.889447236,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,57,62,27,7,12,9,5,6,11,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-40-22,09-27-2022_20-42-18,PRIORITY - RUNAWAY,1,experiments/config/bound,run/randomized,config/config,58,ini,,-9,47,10.2160804,2033,-19,11,-2.246231156,-447,7.969849244,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,34,87,31,10,14,9,11,12,-16,-15,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-44-22,09-27-2022_20-46-18,PRIORITY - RUNAWAY,4,experiments/config/bound,run/randomized,config/config,59,ini,,-9,72,6.155778894,1225,-20,18,1.502512563,299,7.658291457,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,74,42,29,1,8,9,3,4,10,-14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_21-02-39,09-27-2022_21-04-35,PRIORITY - RUNAWAY,6,experiments/config/bound,run/randomized,config/config,60,ini,,-8,53,6.457286432,1285,-14,19,3.366834171,670,9.824120603,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,67,45,30,1,13,9,3,5,-1,5,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
