start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-28-2022_04-26-22,09-28-2022_04-28-26,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config_starting_position_only/config_2.ini,,-9,59,4.628140704,921,-20,19,4.030150754,802,8.658291458,0.284789474,0.870421053,32.7185875,4.49878274,0,1.393305867,23.68619974,12.05125978,0,2.334241848,39.68211141,19,17,2,89.47368421,61,37,17,2,9,9,3,5,13,-3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-06-00,09-28-2022_05-08-00,WEAKENING - PRIORITY - RUNAWAY,9,experiments/config/bound_run/randomized_config_starting_position_only/config_9.ini,,-9,55,5.859296482,1166,-19,18,3.75879397,748,9.618090452,0.3585,0.923666667,38.812703,5.920752587,0,1.820601103,21.84721323,14.51232809,0,3.364529237,40.37435085,12,12,0,100,61,40,32,1,9,9,3,5,2,0,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-45-36,09-28-2022_05-47-35,WEAKENING - PRIORITY - RUNAWAY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_16.ini,,-9,50,6.306532663,1255,-20,18,3.487437186,694,9.793969849,0.279230769,0.843615385,33.09929789,4.463236697,0.14900333,2.600930077,26.00930077,13.80266423,0,2.874251788,28.74251788,13,10,3,76.92307692,50,34,30,4,9,9,3,5,-6,12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-06-40,09-28-2022_07-08-43,WEAKENING - PRIORITY - BOUNDARY,0,experiments/config/bound_run/randomized_config_starting_position_only/config_30.ini,,-8,78,7.216080402,1436,-20,17,1.899497487,378,9.115577889,0.336,0.914777778,36.73023199,5.813002826,0,2.653063042,47.75513475,16.8851871,0,6.066039967,109.1887194,18,18,0,100,56,38,28,1,9,9,3,5,-14,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-10-49,09-28-2022_07-12-54,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_31.ini,,-9,51,4.939698492,983,-18,19,2.964824121,590,7.904522613,0.291322581,0.852870968,34.15787284,3.801830709,0,1.72685172,48.35184815,11.02393995,0,2.724339614,76.2815092,31,28,3,90.32258065,48,36,26,2,9,9,3,5,-5,10,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-26-50,09-28-2022_07-28-51,WEAKENING - PRIORITY - BOUNDARY,4,experiments/config/bound_run/randomized_config_starting_position_only/config_34.ini,,-9,55,5.361809045,1067,-23,18,2.924623116,582,8.286432161,0.3075,0.872722222,35.2345789,5.561562096,0,2.260187512,36.16300019,14.03095701,0,3.171738691,50.74781906,18,16,2,88.88888889,56,46,13,1,9,9,3,5,2,0,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-36-51,09-28-2022_07-38-53,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_36.ini,,-9,66,6.432160804,1280,-32,16,-0.648241206,-129,5.783919598,0.24664,0.81556,30.24179705,6.000830316,0,2.373876261,45.10364897,16.86108209,0,5.301423235,100.7270415,25,19,6,76,40,56,29,6,9,9,3,5,-3,-20,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-52-51,09-28-2022_07-54-51,WEAKENING - PRIORITY - BOUNDARY,9,experiments/config/bound_run/randomized_config_starting_position_only/config_39.ini,,-9,60,6.015075377,1197,-16,16,3.547738693,706,9.56281407,0.323266667,0.8896,36.33842926,5.663184883,0,2.559588279,38.39382418,12.73314234,0,2.599093141,38.98639711,15,15,0,100,53,37,32,2,9,9,3,5,-10,-6,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-02-52,09-28-2022_08-04-54,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_41.ini,,-9,49,5.432160804,1081,-20,17,2.547738693,507,7.979899497,0.308470588,0.885764706,34.82534201,5.267951914,0,2.092226961,35.56785834,16.78397424,0,2.83867497,48.25747449,17,17,0,100,53,40,33,1,9,9,3,5,-6,12,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-24-48,09-28-2022_08-26-48,WEAKENING - PRIORITY - BOUNDARY,5,experiments/config/bound_run/randomized_config_starting_position_only/config_45.ini,,-9,66,5.386934673,1072,-16,16,3.51758794,700,8.904522613,0.254785714,0.832428571,30.60751673,4.42235669,0,1.589729971,20.66648962,11.40385874,0,2.191531483,28.48990928,14,13,1,92.85714286,58,41,33,1,9,9,3,5,12,-18,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
